Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,21 - 63
Team 0,Player #1,1,63,60,50,27,20,30,41,57,52,50,58,A+,25,21.048,0
Team 0,Player #2,2,53,60,51,29,37,51,50,68,38,50,50,A+,25,19.5155,0
Team 0,Player #3,3,37,37,63,28,42,45,45,42,56,50,66,A+,25,17.085,0
Team 0,Player #4,4,37,45,52,58,43,37,45,44,49,58,67,A+,25,18.106,0
Team 0,Player #5,5,54,28,60,69,69,52,45,26,46,65,57,A+,25,20.632,0
Team 0,Player #6,1,65,71,35,20,35,36,28,68,50,66,56,A+,25,22.109,0
Team 0,Player #7,2,59,42,53,27,44,34,35,61,34,50,66,A+,25,18.9935,0
Team 0,Player #8,3,47,46,50,35,29,53,43,30,35,59,69,A+,25,17.625,0
Team 0,Player #9,4,36,28,54,52,53,52,44,28,44,59,76,A+,25,17.233,0
Team 0,Player #10,5,28,28,61,55,61,41,43,29,45,66,73,A+,25,17.156,0
Team 0,Player #11,1,72,60,29,20,31,36,36,70,34,57,50,A+,25,22.103,0
Team 0,Player #12,2,27,63,38,37,29,44,59,60,20,59,50,A+,25,19.5775,0
Team 0,Player #13,3,50,34,36,35,35,36,36,43,61,58,63,A+,25,17.995,0
Team 0,Player #14,4,35,44,44,52,53,49,59,28,59,75,67,A+,25,18.176,0
Team 0,Player #15,5,35,38,43,50,70,53,43,43,60,50,57,A+,25,18.541,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,76 - 8
Team 1,Player #1,1,102,102,100,100,100,100,100,100,100,50,50,F,25,29.66,0
Team 1,Player #2,2,101,101,100,100,100,100,100,101,100,50,50,F,25,27.021,0
Team 1,Player #3,3,103,100,106,100,100,100,100,100,102,50,50,F,25,27.38,0
Team 1,Player #4,4,100,100,100,100,100,100,103,100,101,50,51,F,25,27.24,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,25,29.359,0
Team 1,Player #6,1,100,101,100,100,100,100,100,100,100,51,52,F,25,29.53,0
Team 1,Player #7,2,100,100,104,100,101,100,100,101,100,50,50,F,25,26.923,0
Team 1,Player #8,3,100,104,100,100,101,101,100,102,101,50,51,F,25,27.45,0
Team 1,Player #9,4,100,100,101,101,100,102,100,100,102,50,53,F,25,27.263,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,25,29.2,0
Team 1,Player #11,1,100,100,102,100,100,102,101,101,100,50,51,F,25,29.464,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,25,26.9,0
Team 1,Player #13,3,100,100,100,100,100,101,100,100,100,50,50,F,25,27.01,0
Team 1,Player #14,4,102,102,103,100,100,100,101,100,100,50,50,F,25,27.449,0
Team 1,Player #15,5,101,100,102,102,101,100,100,101,101,50,50,F,25,29.396,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,65 - 19
