University of Pxalit'k'a	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	Tsekon Unup'a	1	50	74	41	33	22	57	35	109	74	58	97	D	19	59.55	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Wap't'ebw	2	7	11	15	8	11	6	6	10	24	73	54	F+	19	14.07	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Lek'at	3	66	53	40	15	31	56	43	41	48	86	94	F+	20	42.91	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Wap't'ebw	4	63	64	40	45	25	20	63	11	58	24	97	D+	19	42.73	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Unup'a	5	24	19	41	47	69	47	59	19	61	36	69	C	20	50.74	-1	1	1	0	0
Dtersauuw_Sagua	P'uyo Lek'at	1	63	50	48	12	7	72	54	96	62	25	88	C	19	58.16	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Unup'a	2	85	84	18	45	21	46	26	49	29	67	84	D	19	37.11	-1	1	1	0	0
Dtersauuw_Sagua	Ivek'il Lek'at	3	76	86	63	36	60	37	66	34	58	41	74	D	21	52.24	-1	1	1	0	0
Dtersauuw_Sagua	P'uyo Lek'at	4	53	48	55	42	72	59	48	30	65	49	60	D+	19	53.58	-1	1	1	0	0
Dtersauuw_Sagua	Ivek'il Wap't'ebw	5	32	25	80	69	75	50	47	14	85	41	80	F+	20	61.63	-1	1	1	0	0
Dtersauuw_Sagua	P'uyo Unup'a	1	96	96	20	8	29	91	99	174	93	41	92	C	20	84.54	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Lek'at	2	47	50	51	12	62	32	38	60	85	59	77	C	20	52.22	-1	1	1	0	0
Dtersauuw_Sagua	P'uyo T'es'vak	3	79	74	58	52	91	64	49	32	66	81	86	D	21	59.90	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Wap't'ebw	4	37	32	61	20	26	26	27	19	40	86	80	D+	18	35.04	-1	1	1	0	0
Dtersauuw_Sagua	P'uyo T'es'vak	5	11	13	80	18	41	56	9	27	46	78	60	D	18	39.71	-1	1	1	0	0
