Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Alteus,29,3,3138,2708,1,1,1
University of Kap'atŋpiri,25,7,2881,2446,2,2,4
University of Sande Sitei,19,13,2839,2730,3,3,26
University of Auspikitan,18,14,3239,3156,4,4,36
University of Nausicaa,18,14,3020,2977,5,5,41
University of Saelunavvk,17,15,2667,2653,6,6,46
University of Pxalit'k'a,16,16,2948,2894,7,7,48
University of Hinaika Oceanography Institute,11,21,2592,2815,8,8,84
University of Futi'akep,8,24,2912,3144,9,9,95
University of Atapwa,3,29,2527,3236,10,10,100
Division 1,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Blanaxon,23,9,2885,2639,1,1,8
University of Autolik,19,13,2782,2722,2,2,28
University of Naxda,18,14,2696,2532,3,3,31
University of Radugrad,18,14,2797,2679,4,4,34
University of Sozaxon,18,14,2829,2854,5,5,43
University of Sovkagrad,16,16,2693,2715,6,6,53
University of Klanaxon,14,18,2821,2881,7,7,62
University of Prokax,10,22,2642,2738,8,8,86
University of Noxium,7,25,2366,2615,9,9,96
University of Uxnua,6,26,2530,2978,10,10,98
Division 2,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Antarion 3,26,6,3335,2924,1,1,2
University of Issamore,23,9,3370,3143,2,2,9
University of Shigua,20,12,3001,2761,3,3,20
University of Sagua,18,14,3218,3130,4,4,35
University of Barsein,18,14,2966,2890,5,5,38
University of Antarion 2,13,19,2942,2989,6,6,70
University of Dongua,13,19,3034,3179,7,7,73
University of Pentadominion 2,12,20,2988,3144,8,8,78
University of Pentadominion 1,11,21,3240,3352,9,9,81
University of Nja,11,21,2585,2892,10,10,85
Division 3,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Chromasheep Farm,21,11,2721,2574,1,1,17
University of Shmupland 3,21,11,2872,2778,2,2,19
University of Sapphire Bay,20,12,2947,2802,3,3,22
University of Shmupland 1,18,14,3160,3081,4,4,37
University of Shmupland 4,18,14,3348,3282,5,5,40
University of Shmupland 5,16,16,2799,2830,6,6,54
University of Oasis City,15,17,3206,3223,7,7,57
University of Shmupland 2,11,21,2761,2817,8,8,79
University of Kaeshar 4,9,23,2953,3170,9,9,93
University of Kaeshar 5,9,23,3046,3329,10,10,94
Division 4,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Lveinta,25,7,3404,3146,1,1,6
University of Alieosia,22,10,3170,3098,2,2,14
University of Lizabechai,18,14,3299,3180,3,3,33
University of Levikeana Solvae,18,14,3162,3095,4,4,39
University of Byisotia,17,15,3007,2937,5,5,44
University of Nomvas,14,18,2987,3071,6,6,64
University of Eastern Alveske,14,18,2892,2994,7,7,65
University of Hkamnsi,13,19,3134,3139,8,8,69
University of Pyzus,13,19,2684,2844,9,9,74
University of Vrelinku,10,22,2828,2976,10,10,89
Division 5,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Kholka,21,11,3299,3064,1,1,15
University of Ncov Ntiajeb,19,13,3195,3173,2,2,29
University of Quiita-Kyudosia,18,14,2716,2591,3,3,32
University of Soniara,15,17,3027,3069,4,4,60
University of Zhiwasen,15,17,2918,2974,5,5,61
University of Eirnvse,14,18,2728,2802,6,6,63
University of Aavana,13,19,3097,3228,7,7,72
University of Venasul,13,19,2922,3089,8,8,75
University of Floria,12,20,3143,3265,9,9,77
University of Svitharia,10,22,2986,3308,10,10,92
Division 6,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
Naskitrusk University,25,7,3313,2958,1,1,5
Atresmi University,24,8,3341,3063,2,2,7
University of Vigim,23,9,2732,2625,3,3,11
University of Vincent,22,10,3017,2831,4,4,13
Esmal District University,19,13,2998,2925,5,5,27
University of Herelle,16,16,3150,3105,6,6,49
University of Boltway,16,16,2909,2873,7,7,50
Stedro Institute of Technology,16,16,3054,3063,8,8,51
University of Tri_National_Dominion 2,10,22,3095,3227,9,9,88
University of Arinis,7,25,2598,2892,10,10,97
Division 7,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Avura Aviation & Economics (A&E),22,10,2974,2764,1,1,12
University of Yoka Tse,20,12,3192,3125,2,2,23
University of University of Central Paradaniton,19,13,3053,2904,3,3,25
University of Imperial Institute at Levzent,18,14,3162,2993,4,4,30
University of Imperial Institute at Faehrenfall,16,16,3107,3049,5,5,47
University of Western University,16,16,2866,2910,6,6,55
University of Chizait University,15,17,3209,3207,7,7,56
University of Ciulo,14,18,3221,3356,8,8,67
University of Akarine,13,19,3213,3277,9,9,71
University of Vikasa,5,27,2873,3227,10,10,99
Division 8,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Pokoj,23,9,3147,2952,1,1,10
University of Lumein,21,11,2963,2868,2,2,18
University of Holykol,20,12,2801,2624,3,3,21
University of Norkute,15,17,3078,3103,4,4,58
University of Seraphia,15,17,3139,3169,5,5,59
University of Forssa,14,18,2844,2950,6,6,66
University of Biodry,12,20,2662,2739,7,7,76
University of Starrie,11,21,3047,3150,8,8,80
University of Vatallus,11,21,3014,3134,9,9,82
University of Protopolis,11,21,3053,3207,10,10,83
Division 9,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Bongatar 1,26,6,3031,2729,1,1,3
University of Bongatar 2,21,11,3364,3189,2,2,16
University of Aahrus 2,19,13,3280,3123,3,3,24
University of Ikkuvvuki,18,14,3051,3048,4,4,42
University of Aahrus 1,17,15,2768,2742,5,5,45
University of Fiik Lanki Akol,16,16,2797,2807,6,6,52
University of Lnwm,14,18,3076,3239,7,7,68
University of Maxwmkakki,10,22,2720,2836,8,8,87
University of Yuofuan,10,22,2851,3018,9,9,90
University of Vikkada,10,22,3008,3219,10,10,91
Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Alteus,59,5,3377,2859,1,1,1
University of Kap'atŋpiri,46,18,2899,2676,2,2,5
University of Saelunavvk,40,24,2862,2538,3,3,22
University of Nausicaa,39,25,3217,3156,4,4,29
University of Sande Sitei,35,29,2854,2859,5,5,46
University of Auspikitan,32,32,3095,3139,6,6,54
University of Pxalit'k'a,30,34,3067,3089,7,7,60
University of Hinaika Oceanography Institute,22,42,3050,3214,8,8,81
University of Futi'akep,14,50,2562,2862,9,9,98
University of Atapwa,9,55,2815,3282,10,10,99
Division 1,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Blanaxon,42,22,3228,3080,1,1,15
University of Naxda,41,23,2848,2628,2,2,16
University of Klanaxon,40,24,2978,2806,3,3,23
University of Autolik,36,28,3232,3177,4,4,41
University of Radugrad,33,31,2794,2774,5,5,48
University of Sozaxon,30,34,2830,2835,6,6,59
University of Prokax,28,36,3027,2952,7,7,64
University of Sovkagrad,26,38,2719,2908,8,8,74
University of Uxnua,16,48,3129,3300,9,9,95
University of Noxium,16,48,2628,2873,10,10,96
Division 2,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Antarion 3,45,19,3206,2994,1,1,7
University of Issamore,45,19,2997,2890,2,2,8
University of Barsein,41,23,3025,2810,3,3,17
University of Shigua,40,24,2929,2870,4,4,25
University of Sagua,33,31,3107,3145,5,5,49
University of Antarion 2,30,34,2905,2863,6,6,58
University of Pentadominion 1,28,36,3345,3314,7,7,65
University of Dongua,26,38,2744,2864,8,8,72
University of Pentadominion 2,18,46,2572,2935,9,9,92
University of Nja,18,46,2594,2998,10,10,93
Division 3,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Sapphire Bay,44,20,3446,3006,1,1,9
University of Chromasheep Farm,41,23,2765,2593,2,2,18
University of Shmupland 4,40,24,3276,3107,3,3,24
University of Shmupland 3,37,27,2877,2923,4,4,38
University of Shmupland 1,35,29,3187,3175,5,5,44
University of Oasis City,32,32,3295,3265,6,6,52
University of Shmupland 5,32,32,2824,2879,7,7,55
University of Kaeshar 5,26,38,2905,2882,8,8,71
University of Kaeshar 4,20,44,2721,2914,9,9,87
University of Shmupland 2,19,45,2578,2875,10,10,91
Division 4,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Byisotia,43,21,3046,2754,1,1,10
University of Lveinta,40,24,3018,3006,2,2,26
University of Alieosia,39,25,2959,2943,3,3,30
University of Lizabechai,38,26,3224,2995,4,4,31
University of Levikeana Solvae,37,27,3171,3083,5,5,37
University of Hkamnsi,34,30,3280,3117,6,6,47
University of Vrelinku,28,36,2902,2880,7,7,67
