University of Pxalit'k'a players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
P'uyo Wap't'ebw,68,2553,0,0,0,0,0,0,0,0,0,3,0,774,175,599,0,1,0,0, 0.176470588235294
Tsekon Unup'a,67,1771,410,770,823,372,45.2004860267315,0,0,48,26,57,26,352,79,273,119,692,345,49.8554913294798, -1
Litsaw Lek'at,36,1406,85,299,310,143,46.1290322580645,0,0,22,13,62,20,158,32,126,59,612,320,52.2875816993464, -3.69444444444444
Litsaw Wap't'ebw,101,4484,871,2617,2320,1105,47.6293103448276,784,232,3,2,138,40,541,123,418,101,1982,1044,52.6740665993946, 0.97029702970297
P'uyo Lek'at,32,1536,133,694,641,277,43.213728549142,276,76,6,4,60,18,167,37,130,22,683,331,48.4626647144949, -2.75
Tsekon Unup'a,227,5753,602,1733,1405,863,61.423487544484,0,0,12,7,62,35,1592,337,1255,42,1590,1016,63.8993710691824, -0.581497797356828
P'uyo Wap't'ebw,18,303,40,144,163,62,38.0368098159509,0,0,28,20,6,11,69,19,50,26,92,33,35.8695652173913, 1.55555555555556
P'uyo Wap't'ebw,41,1541,176,796,696,350,50.2873563218391,128,38,20,13,41,20,178,35,143,53,696,362,52.0114942528736, 1.92682926829268
P'uyo Lek'at,4,52,16,37,25,17,68,2,1,0,0,0,2,5,2,3,4,29,12,41.3793103448276, 3.25
P'uyo T'es'vak,74,3227,1037,1901,1554,801,51.5444015444015,531,164,5,5,94,47,488,107,381,37,1323,667,50.4157218442933, 3.39189189189189
P'uyo T'es'vak,13,165,0,0,0,0,0,0,0,0,0,0,0,40,10,30,0,0,0,0, -0.692307692307692
Ivek'il Unup'a,12,71,9,13,17,6,35.2941176470588,0,0,2,1,4,0,16,6,10,3,42,24,57.1428571428571, -1.16666666666667
Litsaw Unup'a,15,217,29,113,88,46,52.2727272727273,31,11,0,0,7,4,25,7,18,20,85,34,40, 2.8
Ivek'il Wap't'ebw,1,6,0,7,3,3,100,0,0,0,0,0,0,0,0,0,0,3,3,100, -1
Ivek'il T'es'vak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
University of Sande Sitei players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Abi Azaska,70,3058,261,26,28,11,39.2857142857143,0,0,10,4,6,0,1082,238,844,7,48,25,52.0833333333333, -3.05714285714286
Làto Sikasbë,96,3930,403,852,928,414,44.6120689655172,0,0,50,24,175,45,736,156,580,163,1844,969,52.5488069414317, -2.23958333333333
Cabodu Sikasbë,97,2047,300,952,933,388,41.5862808145766,254,64,52,31,87,27,221,56,165,60,975,510,52.3076923076923, -1.93814432989691
Tapan Rrasab,32,1373,243,671,670,332,49.5522388059701,0,0,18,7,46,12,201,51,150,41,631,325,51.5055467511886, -8.15625
Asdëk Rrasab,128,5075,635,2248,1936,864,44.6280991735537,840,215,57,30,212,57,627,158,469,74,1994,1027,51.5045135406219, -0.984375
Nàsà Osia,10,188,0,0,0,0,0,0,0,0,0,0,0,55,9,46,1,1,1,100, 0.2
Paɰe Naksik,18,228,38,130,129,65,50.3875968992248,0,0,0,0,1,3,48,8,40,22,96,53,55.2083333333333, -1
Cabodu Gasbërr,32,687,113,401,383,168,43.8642297650131,136,28,5,3,17,46,81,19,62,39,231,82,35.4978354978355, 5.90625
Zagësba Daho,6,132,24,100,78,43,55.1282051282051,17,5,0,0,6,2,22,6,16,3,58,26,44.8275862068966, 5.16666666666667
Hënila Sokàtà,23,481,65,326,272,131,48.1617647058824,100,37,4,4,17,4,49,7,42,5,224,120,53.5714285714286, -1.95652173913043
The Moo Rrasab,69,3023,14,6,6,3,50,0,0,0,0,13,0,914,244,670,5,29,12,41.3793103448276, 1.39130434782609
Atrêsga Azaska,17,298,30,172,158,85,53.7974683544304,0,0,2,2,12,3,72,19,53,21,151,84,55.6291390728477, 0.764705882352941
Hënila Ūnā,27,675,92,337,378,159,42.0634920634921,0,0,36,19,30,12,82,23,59,45,277,113,40.7942238267148, -0.814814814814815
Nàsà Saχi,3,31,5,30,23,15,65.2173913043478,0,0,0,0,0,0,5,2,3,0,12,6,50, 0.666666666666667
Paɰe Rrasab,8,157,55,114,94,45,47.8723404255319,30,9,6,5,8,4,26,9,17,3,58,24,41.3793103448276, 0
