Aeridani Troopers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Solea	kalassak vekel álutep	1	76	24	47	54	12	98	29	89	56	51	53	D+	29	57.90	855	1	1	187	2144
Czalliso	ilu	2	98	96	52	29	34	63	94	92	72	81	85	B	27	69.36	-1	3	1	67	374
Bielosia	Kalani Cheruene	3	53	70	92	90	57	55	64	37	64	56	86	B	20	65.74	-1	1	1	165	708
Pyxanovia	Height Sagua Player #6	4	16	17	64	58	65	74	77	32	79	46	51	B+	28	63.25	483	1	1	310	1020
Dotruga	Melebin Himei	5	66	27	51	42	86	45	95	87	54	51	101	C+	29	65.25	419	-3	2.1	195	773
Solea	kalassak vekel álutep	1	76	24	47	54	12	98	29	89	56	51	53	D+	29	57.90	855	1	1	187	2144
Aiyota	Munglegarra	2	33	47	40	43	80	69	71	82	56	88	66	C	29	62.89	571	3	1	187	1088
Pyxanovia	Xaisomboun Thammavong	3	62	66	72	27	73	57	76	47	93	47	98	D+	23	66.60	-1	1	1	145	613
Tri_National_Dominion	Heine Hutto	4	28	33	101	92	54	69	65	22	60	38	57	D+	22	67.57	482	3	1	152	520
Ethanthova	William Spicer	5	78	34	48	72	87	57	71	82	58	16	52	C	26	64.83	204	3	1	209	825
Solea	kalassak vekel álutep	1	76	24	47	54	12	98	29	89	56	51	53	D+	29	57.90	855	1	1	187	2144
Wyverncliff	Quinten Grabochov	2	85	62	58	15	45	39	46	96	84	41	49	B+	23	59.29	143	1	1	340	1757
Holykol	xek	3	81	42	91	94	49	51	28	27	76	48	104	C+	30	62.01	256	1	1	256	1273
Wyverncliff	Lavrenti Ogden	4	48	28	98	96	43	46	63	11	79	47	50	C	26	65.59	337	1	1	203	725
Ethanthova	William Spicer	5	78	34	48	72	87	57	71	82	58	16	52	C	26	64.83	204	3	1	209	825
Zaxon Zephyrs	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alukeili Asoertotrisei	1	71	78	38	42	57	80	68	90	58	49	65	B+	28	63.45	35	3	1	86	957
Antarion	Guvggillmào Peśqu	2	72	89	67	31	54	42	45	93	74	92	98	C	24	62.87	-1	0	1	215	1116
Blaist_Blaland	Sovtanzax Uxyakro	3	75	66	76	100	6	70	99	31	40	95	104	C	30	61.86	210	2	1	268	1303
Aeridani	Itso Bigo	4	57	7	87	94	70	9	70	35	102	48	51	C	29	69.24	495	2	1	96	384
Dotruga	Versi Alovek	5	52	44	72	58	98	81	52	56	66	43	63	C+	25	68.14	160	-3	5	117	470
Dtersauuw_Sagua	P'uyo Unup'a	1	70	56	37	32	14	74	87	75	75	75	71	C+	29	62.61	165	-1	4.3	103	1132
Ethanthova	Iggy Bolter	2	41	54	42	36	62	81	48	85	44	47	89	C+	27	59.51	164	1	1	317	1722
Dotruga	Danomobei Kixidosu	3	39	36	78	47	81	34	78	90	45	11	95	F+	21	63.40	-1	2	1	193	972
Blaist_Blaland	Blanaxon Player #6	4	46	9	68	74	42	77	68	44	58	51	53	B	30	60.79	159	2	1	449	1495
Lyintaria	Lyintaria Player #3	5	66	9	77	77	99	67	80	14	30	49	49	C	31	66.14	446	3	1	149	662
Shmupland	Ha Chihu	1	69	51	46	25	35	38	85	92	42	80	90	B	26	56.37	387	1	1	255	2414
Dotruga	Melebin Kixidodotsei	2	89	99	58	39	28	83	72	78	28	8	63	C	22	58.68	295	0	1	406	1937
Dotruga	Danomobei Kixidosu	3	39	36	78	47	81	34	78	90	45	11	95	F+	21	63.40	-1	2	1	193	972
Czalliso	hig	4	69	33	91	88	56	30	54	38	65	49	54	C	30	62.20	384	2	1	360	1227
Aahrus	Aahrus Player #9	5	20	34	89	85	38	50	53	37	61	52	53	B	28	57.05	745	1	1	481	2293
Vincent Vikings	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aahrus	Mochizuki Takeji	1	96	98	44	7	46	36	65	98	79	54	84	C	23	59.69	-1	1	1	146	1676
Kaeshar	Vipoi Zonaqa	2	93	99	37	21	37	77	79	100	51	75	98	C	23	65.37	-1	1	1	127	752
