Team Name,Ticket Sales,Concession Sales,Shared Revenue,Sponsor Income,Merchandise/Licensing,Player Contracts,Staff Contracts,Stadium Maintenance,Travel Costs,Current Money
Aahrus Moosi,0,0,199999968,85100000,167010312,354800000,70800000,44000000,0,32510212
Auspikitan Golden Falcons,0,0,199999968,211055000,164973816,399200000,67200000,44000000,0,115628740
Calto Cows,0,0,199999968,211010000,166374852,396800000,68800000,44000000,0,117784792
Height Sagua Cats,0,0,199999968,85000000,167929608,308000000,78000000,44000000,0,72929544
Key to Don Yees,0,0,199999968,84910000,170923620,266400000,74800000,44000000,0,120633528
Manwx Saguans,0,0,199999968,85040000,167662068,323200000,60400000,44000000,0,75101968
Sagua Ocelots,0,0,199999968,85000000,166510512,307200000,73200000,44000000,0,77110476
Solea Geysers,0,0,199999968,85090000,169345008,390000000,77600000,44000000,0,-7165078
Autolik Autonomy,0,0,199999968,84745000,171151260,350000000,64400000,44000000,0,47496216
Barsein Bats,0,0,199999968,84915000,166514376,360800000,63200000,44000000,0,33429308
Blanaxon Hammers,0,0,199999968,84950000,171480036,313600000,73200000,44000000,0,75629956
Kaeshar Kaisers,0,0,199999968,85095000,164316600,280800000,63600000,44000000,0,111011528
Naxda Nomads,0,0,199999968,84975000,165766608,308000000,69200000,44000000,0,79541552
Red Rainbow Sickles,0,0,199999968,84890000,168929880,293600000,70800000,44000000,0,95419828
Serkr Atolls,0,0,199999968,43180000,164293500,398000000,73200000,44000000,0,-57726541
Shmupland Dictators,0,0,199999968,84965000,164143560,329600000,68800000,44000000,0,56708500
Aiyota Pumps,0,0,199999968,85180000,170150232,298400000,62000000,44000000,0,100930176
Avura Aviators,0,0,199999968,84770000,172070724,376000000,68800000,44000000,0,18040660
Boltway Bad Dragons,0,0,199999968,84965000,171344880,260800000,73200000,44000000,0,128309848
Dotruga Falno,0,0,199999968,85250000,166863480,364800000,72000000,44000000,0,21313408
Ethanthova Ponies,0,0,199999968,84955000,167446188,378000000,73200000,44000000,0,7201080
Faehrenfall Feathercats,0,0,199999968,84895000,169815912,346000000,63600000,44000000,0,51110880
Stedro Boulders,0,0,199999968,84970000,165497388,323600000,64400000,44000000,0,68467284
TND Tanks,0,0,199999968,84840000,167214096,329200000,61600000,44000000,0,67254020
Bongatar Banging Bongos,0,0,199999968,43160000,171867696,305600000,71200000,44000000,0,44227648
Czalliso Pythons,0,0,199999968,84545000,164878728,366000000,73200000,44000000,0,16223692
Dvimne Spirits,0,0,199999968,211335000,163987152,399200000,64400000,44000000,0,117722048
Holy Yektonisa Bishops,0,0,199999968,84845000,169670760,347200000,68800000,44000000,0,44515684
Holykol Bears,0,0,199999968,210895000,166773180,390400000,70000000,44000000,0,123268140
Lyintaria Lynx,0,0,199999968,84870000,168983724,333600000,63200000,44000000,0,63053612
Pyxanovia Pixies,0,0,199999968,85160000,164737524,323200000,77200000,44000000,0,55497424
Transhimalia Disasters,0,0,199999968,84995000,169497804,360400000,64400000,44000000,0,35692720
