Game 1,Home,Score,Away,Score
,Pyxanovia Pixies,120,Aahrus Moosi,119
,Transhimalia Disasters,110,Lyintaria Lynx,120
,Auspikitan Golden Falcons,94,Holykol Bears,96
,Calto Cows,118,Holy Yektonisa Bishops,125
,Height Sagua Cats,101,Dvimne Spirits,119
,Key to Don Yees,106,Czalliso Pythons,109
,Manwx Saguans,118,Bongatar Banging Bongos,108
,Sagua Ocelots,106,TND Tanks,121
,Solea Geysers,133,Stedro Boulders,107
,Autolik Autonomy,124,Faehrenfall Feathercats,107
,Barsein Bats,95,Ethanthova Ponies,116
,Blanaxon Hammers,110,Dotruga Falno,120
,Kaeshar Kaisers,139,Boltway Bad Dragons,143
,Naxda Nomads,128,Avura Aviators,113
,Red Rainbow Sickles,131,Aiyota Pumps,124
,Serkr Atolls,121,Shmupland Dictators,105
Game 2,Home,Score,Away,Score
,Red Rainbow Sickles,104,Aahrus Moosi,123
,Naxda Nomads,127,Serkr Atolls,117
,Kaeshar Kaisers,117,Shmupland Dictators,97
,Blanaxon Hammers,121,Aiyota Pumps,136
,Barsein Bats,116,Avura Aviators,110
,Autolik Autonomy,110,Boltway Bad Dragons,112
,Solea Geysers,120,Dotruga Falno,119
,Sagua Ocelots,126,Ethanthova Ponies,128
,Manwx Saguans,130,Faehrenfall Feathercats,147
,Key to Don Yees,123,Stedro Boulders,124
,Height Sagua Cats,108,TND Tanks,94
,Calto Cows,112,Bongatar Banging Bongos,111
,Auspikitan Golden Falcons,112,Czalliso Pythons,116
,Transhimalia Disasters,100,Dvimne Spirits,125
,Pyxanovia Pixies,110,Holy Yektonisa Bishops,114
,Lyintaria Lynx,103,Holykol Bears,111
Game 3,Home,Score,Away,Score
,Aahrus Moosi,119,Holy Yektonisa Bishops,112
,Holykol Bears,106,Dvimne Spirits,114
,Lyintaria Lynx,97,Czalliso Pythons,105
,Pyxanovia Pixies,116,Bongatar Banging Bongos,109
,Transhimalia Disasters,122,TND Tanks,118
,Auspikitan Golden Falcons,112,Stedro Boulders,80
,Calto Cows,132,Faehrenfall Feathercats,117
,Height Sagua Cats,84,Ethanthova Ponies,121
,Key to Don Yees,103,Dotruga Falno,118
,Manwx Saguans,120,Boltway Bad Dragons,126
,Sagua Ocelots,102,Avura Aviators,115
,Solea Geysers,115,Aiyota Pumps,117
,Autolik Autonomy,117,Shmupland Dictators,105
,Barsein Bats,121,Serkr Atolls,119
,Blanaxon Hammers,117,Red Rainbow Sickles,107
,Kaeshar Kaisers,114,Naxda Nomads,113
Game 4,Home,Score,Away,Score
,TND Tanks,113,Aahrus Moosi,107
,Stedro Boulders,105,Bongatar Banging Bongos,118
,Faehrenfall Feathercats,121,Czalliso Pythons,123
,Ethanthova Ponies,118,Dvimne Spirits,121
,Dotruga Falno,113,Holy Yektonisa Bishops,112
