University of Pxalit'k'a	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	Ivek'il Lek'at	1	67	73	35	5	26	34	83	73	14	78	72	C	18	43.19	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Wap't'ebw	2	7	11	17	7	11	5	6	11	24	73	52	F+	20	14.15	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Lek'at	3	67	53	45	13	33	54	47	32	54	89	92	F+	21	43.81	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Wap't'ebw	4	43	34	73	24	28	32	24	22	41	86	80	D+	19	38.61	-1	1	1	0	0
Dtersauuw_Sagua	P'uyo T'es'vak	5	15	15	82	18	50	68	7	22	48	80	60	D	19	42.83	-1	1	1	0	0
Dtersauuw_Sagua	Ivek'il T'es'vak	1	48	39	30	6	11	54	37	80	18	12	83	D+	18	39.69	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Unup'a	2	94	96	18	47	21	51	29	56	31	69	82	D	20	40.07	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Wap't'ebw	3	82	72	39	16	37	25	50	39	51	37	99	C	18	41.17	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Wap't'ebw	4	63	68	47	47	27	20	60	9	67	26	97	D+	20	45.42	-1	1	1	0	0
Dtersauuw_Sagua	Ivek'il Wap't'ebw	5	38	29	95	64	90	64	56	17	90	39	87	F+	21	70.01	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Wap't'ebw	1	50	49	21	12	17	34	32	90	28	38	89	D	18	39.37	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Unup'a	2	49	73	38	9	35	78	65	71	43	84	74	D+	18	54.55	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon T'es'vak	3	32	45	35	21	16	52	40	89	41	42	89	D+	18	43.82	-1	1	1	0	0
Dtersauuw_Sagua	Ivek'il Lek'at	4	79	82	81	39	55	40	75	6	51	39	68	C	18	52.64	-1	1	1	0	0
Dtersauuw_Sagua	Litsaw Unup'a	5	15	7	18	13	24	8	6	10	6	33	91	D	18	16.74	-1	1	1	0	0
University of Sande Sitei	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Darvincia	The Moo Rrasab	1	62	49	6	19	17	35	51	126	43	90	70	C	19	48.75	-1	1	1	0	0
Darvincia	Atrêsga Sikasbë	2	19	27	24	5	7	15	31	28	20	53	92	D	21	24.64	-1	1	1	0	0
Darvincia	Cabodu Sikasbë	3	17	23	33	16	18	23	22	11	13	46	82	D+	19	22.60	-1	1	1	0	0
Darvincia	Zagësba Rrasab	4	27	30	69	60	27	48	33	29	55	45	46	D+	19	47.19	-1	1	1	0	0
Darvincia	Asdëk Rrasab	5	10	11	28	26	25	6	24	11	10	8	49	D+	19	20.41	-1	1	1	0	0
Darvincia	Làto Osia	1	37	33	11	6	26	32	39	66	20	35	81	D+	18	33.36	-1	1	1	0	0
Darvincia	Nàsà Cows	2	66	61	28	64	33	41	72	120	59	54	116	C	21	65.43	-1	1	1	0	0
Darvincia	Tapan Daho	3	44	56	13	17	16	39	30	12	67	58	55	C	20	31.71	-1	1	1	0	0
Darvincia	Zagësba Sokàtà	4	57	60	49	80	39	35	50	37	31	65	69	D	21	47.43	-1	1	1	0	0
Darvincia	Abi Rrasab	5	63	46	52	54	129	45	56	39	80	32	81	C	20	67.05	-1	1	1	0	0
Darvincia	Zagësba Ūnā	1	16	22	7	11	13	9	8	41	19	59	94	C	18	20.46	-1	1	1	0	0
Darvincia	The Moo Ūnā	2	20	35	11	15	8	34	28	55	23	10	77	D+	18	30.60	-1	1	1	0	0
Darvincia	Nàsà Cows	3	58	54	64	25	56	88	34	102	57	98	56	B	18	59.22	-1	1	1	0	0
Darvincia	Zagësba Daho	4	61	57	93	86	44	38	39	46	63	9	104	C	18	62.87	-1	1	1	0	0
Darvincia	Nàsà Cows	5	16	23	45	36	50	53	35	15	30	27	75	C	18	40.65	-1	1	1	0	0
University of Kap'atŋpiri	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Oesa	Nouka Lereŋ	1	40	38	34	16	36	7	35	73	30	48	74	F+	21	35.38	-1	1	1	0	0
Oesa	Nouka Lome	2	47	41	12	10	27	35	17	37	20	6	55	C	21	25.53	-1	1	1	0	0
