University of Pxalit'k'a players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
P'uyo Unup'a,123,4763,402,1108,939,553,58.8924387646432,0,0,2,2,49,100,1739,477,1262,164,557,209,37.5224416517056, 6.13008130081301
Tsekon Lek'at,98,2972,593,1379,1137,582,51.1873350923483,346,95,0,0,77,35,515,122,393,135,1250,678,54.24, 4.96938775510204
P'uyo T'es'vak,79,2016,656,1170,1011,584,57.7645895153314,0,0,2,2,47,18,207,59,148,88,764,392,51.3089005235602, 5.0379746835443
P'uyo Lek'at,66,1189,217,438,371,186,50.1347708894879,120,32,1,1,21,11,120,34,86,41,446,232,52.0179372197309, 3.40909090909091
Ivek'il Wap't'ebw,77,2018,384,862,681,369,54.1850220264317,210,63,0,0,36,17,225,58,167,76,653,302,46.2480857580398, 4.76623376623377
P'uyo Unup'a,123,4763,402,1108,939,553,58.8924387646432,0,0,2,2,49,100,1739,477,1262,164,557,209,37.5224416517056, 6.13008130081301
Tsekon Lek'at,98,2972,593,1379,1137,582,51.1873350923483,346,95,0,0,77,35,515,122,393,135,1250,678,54.24, 4.96938775510204
Ivek'il Lek'at,81,1530,229,550,509,270,53.0451866404715,7,4,6,6,35,28,173,43,130,100,530,246,46.4150943396226, 2.25925925925926
Litsaw Wap't'ebw,92,2509,270,986,864,493,57.0601851851852,0,0,4,0,41,38,244,68,176,105,907,440,48.5115766262404, 3.30434782608696
Ivek'il Wap't'ebw,77,2018,384,862,681,369,54.1850220264317,210,63,0,0,36,17,225,58,167,76,653,302,46.2480857580398, 4.76623376623377
P'uyo Lek'at,63,439,30,133,116,66,56.8965517241379,0,0,2,1,14,1,102,37,65,23,147,65,44.2176870748299, 0.19047619047619
Litsaw Unup'a,72,1670,150,502,515,248,48.1553398058252,0,0,16,6,32,19,291,65,226,76,725,370,51.0344827586207, 2.25
Tsekon Lek'at,68,2735,419,1249,1214,619,50.9884678747941,0,0,22,11,69,33,314,73,241,92,1200,607,50.5833333333333, -0.441176470588235
Litsaw Wap't'ebw,92,2509,270,986,864,493,57.0601851851852,0,0,4,0,41,38,244,68,176,105,907,440,48.5115766262404, 3.30434782608696
Litsaw Unup'a,100,2506,635,990,843,403,47.8054567022539,328,94,1,0,36,19,294,79,215,86,971,441,45.4170957775489, 2.72
University of Sande Sitei players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Zagësba Kanix,64,1444,58,417,401,202,50.3740648379052,0,0,30,13,39,17,310,85,225,77,437,221,50.5720823798627, -0.09375
Cabodu Gasbërr,115,2776,570,1490,1385,731,52.7797833935018,0,0,38,28,77,34,1074,293,781,230,1021,451,44.1723800195886, 2.22608695652174
The Moo Azaska,135,3148,983,1688,1579,800,50.6649778340722,0,0,142,88,89,40,430,103,327,143,1170,537,45.8974358974359, 1.65185185185185
Zagësba Daho,32,779,126,594,492,249,50.609756097561,137,35,3,3,33,6,101,23,78,14,372,217,58.3333333333333, 1.125
Abi Rrasab,42,1188,413,470,437,235,53.7757437070938,0,0,2,0,20,12,163,48,115,34,444,205,46.1711711711712, 3.66666666666667
The Moo Rrasab,64,1624,265,342,325,169,52,0,0,22,4,24,16,385,113,272,70,576,312,54.1666666666667, 0.28125
Nàsà Cows,93,2170,217,785,734,391,53.2697547683924,0,0,4,3,52,32,456,116,340,188,740,303,40.9459459459459, 0.946236559139785
Kardo Naksik,32,660,135,214,199,90,45.2261306532663,75,17,1,1,13,4,68,22,46,33,216,93,43.0555555555556, -0.3125
Zagësba Sokàtà,70,1532,208,482,456,241,52.8508771929825,0,0,0,0,31,12,162,40,122,53,636,302,47.4842767295598, -0.0857142857142857
Paɰe Sokàtà,3,39,4,6,8,3,37.5,0,0,0,0,0,1,3,1,2,0,13,6,46.1538461538462, -6.33333333333333
The Moo Rrasab,64,1624,265,342,325,169,52,0,0,22,4,24,16,385,113,272,70,576,312,54.1666666666667, 0.28125
Nàsà Cows,93,2170,217,785,734,391,53.2697547683924,0,0,4,3,52,32,456,116,340,188,740,303,40.9459459459459, 0.946236559139785
Tapan Daho,67,1938,111,937,851,466,54.75910693302,0,0,10,5,65,29,196,42,154,59,793,434,54.7288776796974, 0.0447761194029851
Zagësba Sokàtà,70,1532,208,482,456,241,52.8508771929825,0,0,0,0,31,12,162,40,122,53,636,302,47.4842767295598, -0.0857142857142857
Kardo Ūnā,96,1582,267,640,545,318,58.348623853211,0,0,10,4,26,13,192,43,149,45,598,296,49.4983277591973, 0.666666666666667
University of Kap'atŋpiri players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Nouka Epi,129,730,35,100,97,50,51.5463917525773,0,0,0,0,5,2,194,57,137,19,131,73,55.7251908396947, -1.42635658914729
Paekua Lome,32,865,104,570,542,279,51.4760147601476,0,0,20,12,27,8,145,30,115,35,346,186,53.757225433526, -3.8125
Nouka Aq'aie,73,1416,902,851,770,356,46.2337662337662,240,62,2,1,39,21,272,61,211,86,492,230,46.7479674796748, -1.42465753424658
Apu Tuni,126,3406,454,2353,1931,1010,52.3045054375971,480,173,15,9,110,44,421,93,328,98,1386,739,53.3189033189033, -2.61904761904762
Olue Lereŋ,54,1193,159,414,353,206,58.356940509915,0,0,4,2,31,8,148,32,116,18,490,246,50.2040816326531, -2.96296296296296
Piri Aq'aie,160,6387,174,656,577,320,55.4592720970537,0,0,32,16,61,16,1675,364,1311,104,924,494,53.4632034632035, -2.34375
Tise Aq'aie,97,2647,196,793,789,383,48.5424588086185,0,0,64,27,88,28,611,147,464,138,1083,541,49.9538319482918, -1.44329896907216
Oevu Lereŋ,98,2932,633,1033,1121,491,43.800178412132,0,0,88,51,67,28,326,66,260,73,1153,605,52.4718126626193, -3.68367346938776
Apu Tuni,126,3406,454,2353,1931,1010,52.3045054375971,480,173,15,9,110,44,421,93,328,98,1386,739,53.3189033189033, -2.61904761904762
Olue Lereŋ,54,1193,159,414,353,206,58.356940509915,0,0,4,2,31,8,148,32,116,18,490,246,50.2040816326531, -2.96296296296296
Piri Aq'aie,160,6387,174,656,577,320,55.4592720970537,0,0,32,16,61,16,1675,364,1311,104,924,494,53.4632034632035, -2.34375
Tise Atona,99,1023,56,477,405,199,49.1358024691358,125,39,7,6,23,8,198,51,147,42,407,231,56.7567567567568, 0.0707070707070707
Oevu Lereŋ,98,2932,633,1033,1121,491,43.800178412132,0,0,88,51,67,28,326,66,260,73,1153,605,52.4718126626193, -3.68367346938776
Oevu Porewo,65,1254,200,532,510,265,51.9607843137255,0,0,4,2,31,14,147,36,111,32,479,272,56.7849686847599, -1.78461538461538
Tise Pitwa,64,1429,153,373,392,174,44.3877551020408,0,0,36,25,39,11,204,55,149,16,529,265,50.0945179584121, -1.984375
University of Futi'akep players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Olue Pitwa,64,566,20,209,231,101,43.7229437229437,0,0,14,7,25,8,178,34,144,21,201,105,52.2388059701493, -2.828125
Paekua Epi,72,1595,219,1018,907,509,56.1190738699008,0,0,0,0,57,11,750,161,589,98,602,287,47.6744186046512, -1.22222222222222
Paekua Atona,103,3128,261,1594,1429,665,46.5360391882435,478,117,7,4,93,48,398,89,309,122,1234,633,51.2965964343598, -0.718446601941748
Oevu Pitwa,76,2057,364,1069,1099,519,47.2247497725205,0,0,82,31,79,27,264,57,207,61,846,438,51.7730496453901, -2.26315789473684
Nouka Atona,96,2862,1138,1368,1152,547,47.4826388888889,413,125,27,17,83,27,343,84,259,50,1125,588,52.2666666666667, -2.14583333333333
Paekua Epi,141,5222,272,783,850,379,44.5882352941176,0,0,46,25,61,28,1150,240,910,124,709,314,44.2877291960508, -0.482269503546099
Paekua Epi,72,1595,219,1018,907,509,56.1190738699008,0,0,0,0,57,11,750,161,589,98,602,287,47.6744186046512, -1.22222222222222
Piri Porewo,74,1693,259,510,527,249,47.2485768500949,12,4,12,8,43,17,196,35,161,59,665,330,49.6240601503759, -2.67567567567568
Oevu Pitwa,76,2057,364,1069,1099,519,47.2247497725205,0,0,82,31,79,27,264,57,207,61,846,438,51.7730496453901, -2.26315789473684
Nouka Atona,96,2862,1138,1368,1152,547,47.4826388888889,413,125,27,17,83,27,343,84,259,50,1125,588,52.2666666666667, -2.14583333333333
Paekua Epi,141,5222,272,783,850,379,44.5882352941176,0,0,46,25,61,28,1150,240,910,124,709,314,44.2877291960508, -0.482269503546099
Tise Lome,96,2986,314,995,1063,478,44.967074317968,0,0,78,39,104,20,760,185,575,130,1135,587,51.7180616740088, -3.95833333333333
Apu Lome,1,13,0,1,2,0,0,1,0,2,1,1,0,3,1,2,0,1,0,0, -11
Piri Tuni,64,1252,63,457,479,223,46.5553235908142,0,0,18,11,47,12,150,36,114,39,500,260,52, -3.46875
Nouka Epi,68,1696,174,452,453,171,37.7483443708609,231,40,15,9,39,18,220,46,174,31,579,308,53.1951640759931, -3.97058823529412
University of Atapwa players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Tise Pitwa,64,1369,47,1111,1005,550,54.726368159204,0,0,20,11,61,16,510,117,393,25,482,267,55.3941908713693, -1.09375
Nouka Pitwa,75,2029,220,604,634,291,45.8990536277603,0,0,40,22,57,16,374,90,284,89,735,362,49.2517006802721, -4.33333333333333
Tise Tuni,92,2364,436,1614,1409,689,48.8999290276792,457,131,2,2,77,18,400,85,315,88,831,418,50.3008423586041, -2.20652173913043
Lekena Atona,86,1560,334,933,803,463,57.6587795765878,0,0,16,7,54,19,184,46,138,56,636,317,49.8427672955975, -2.86046511627907
Paekua Porewo,71,1199,573,415,400,172,43,148,38,2,0,30,7,133,34,99,21,375,182,48.5333333333333, -1.73239436619718
Paekua Pitwa,17,217,5,51,52,24,46.1538461538462,7,0,2,0,11,1,44,10,34,6,65,34,52.3076923076923, -2.11764705882353
Nouka Pitwa,75,2029,220,604,634,291,45.8990536277603,0,0,40,22,57,16,374,90,284,89,735,362,49.2517006802721, -4.33333333333333
Tise Tuni,92,2364,436,1614,1409,689,48.8999290276792,457,131,2,2,77,18,400,85,315,88,831,418,50.3008423586041, -2.20652173913043
Piri Lome,64,1564,134,432,390,213,54.6153846153846,0,0,10,6,47,22,179,42,137,20,575,345,60, -4.15625
Paekua Porewo,71,1199,573,415,400,172,43,148,38,2,0,30,7,133,34,99,21,375,182,48.5333333333333, -1.73239436619718
Piri Epi,51,1050,166,190,230,92,40,0,0,16,6,29,9,214,35,179,21,308,171,55.5194805194805, -6.23529411764706
Paekua Atona,69,1280,150,259,319,126,39.4984326018809,0,0,36,7,39,15,266,46,220,42,461,253,54.880694143167, -5.2463768115942
Nouka Lome,64,1391,125,327,363,153,42.1487603305785,0,0,42,21,44,12,183,44,139,30,442,240,54.2986425339367, -6.46875
Piri Lome,64,1564,134,432,390,213,54.6153846153846,0,0,10,6,47,22,179,42,137,20,575,345,60, -4.15625
Olue Aq'aie,128,4542,1089,1505,1831,692,37.793555434189,0,0,200,121,165,54,529,108,421,66,1926,996,51.7133956386293, -9.921875
University of Hinaika Oceanography Institute players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Olue Epi,64,1754,141,536,561,259,46.1675579322638,0,0,54,18,54,17,429,85,344,63,511,287,56.1643835616438, -3.296875
Olue Pitwa,132,2378,267,1712,1860,752,40.4301075268817,0,0,352,208,123,21,860,207,653,151,845,396,46.8639053254438, 0.0151515151515152
Paekua Porewo,94,1541,481,351,403,169,41.9354838709677,0,0,26,13,35,13,201,47,154,25,639,339,53.0516431924883, 0
Paekua Tuni,66,988,124,394,328,155,47.2560975609756,142,41,4,2,28,9,121,17,104,16,421,236,56.0570071258907, 0.424242424242424
Lekena Aq'aie,160,2180,263,1361,1102,571,51.8148820326679,357,104,0,0,62,45,281,56,225,90,714,303,42.436974789916, -0.19375
Olue Epi,64,1754,141,536,561,259,46.1675579322638,0,0,54,18,54,17,429,85,344,63,511,287,56.1643835616438, -3.296875
Piri Lome,64,1558,90,510,546,251,45.970695970696,0,0,22,8,54,14,294,67,227,82,531,234,44.0677966101695, -3.453125
Paekua Porewo,94,1541,481,351,403,169,41.9354838709677,0,0,26,13,35,13,201,47,154,25,639,339,53.0516431924883, 0
Paekua Tuni,66,988,124,394,328,155,47.2560975609756,142,41,4,2,28,9,121,17,104,16,421,236,56.0570071258907, 0.424242424242424
Tise Aq'aie,64,1906,342,849,736,346,47.0108695652174,246,70,8,6,55,23,261,60,201,71,514,226,43.9688715953307, -4.53125
Olue Epi,64,1302,55,375,354,148,41.8079096045198,120,31,19,11,55,11,315,64,251,38,463,258,55.7235421166307, -1.421875
Piri Lome,64,1558,90,510,546,251,45.970695970696,0,0,22,8,54,14,294,67,227,82,531,234,44.0677966101695, -3.453125
Paekua Porewo,58,1441,157,110,115,53,46.0869565217391,0,0,12,4,42,13,176,39,137,41,537,275,51.2104283054004, -4.22413793103448
Oevu Porewo,97,3397,197,1229,1153,492,42.6712922810061,423,110,31,26,140,30,450,108,342,61,1603,838,52.2769806612601, -1.78350515463918
Tise Aq'aie,64,1906,342,849,736,346,47.0108695652174,246,70,8,6,55,23,261,60,201,71,514,226,43.9688715953307, -4.53125
University of Auspikitan players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Pezi Aivik,64,1749,112,578,521,288,55.278310940499,0,0,2,2,51,10,606,164,442,61,602,320,53.156146179402, 2.109375
Iveo Vuki,94,2551,192,993,915,487,53.224043715847,7,1,24,13,73,16,461,125,336,126,1005,556,55.3233830845771, 4.61702127659574
