New Rookies	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	Ivek'il Wap't'ebw	5	38	29	95	64	90	64	56	17	90	39	87	F+	22	70.01	-1	1	1	0	0
Dtersauuw_Sagua	Tsekon Unup'a	2	49	73	38	9	35	78	65	71	43	84	74	D+	19	54.55	-1	1	1	0	0
Darvincia	Zagësba Daho	4	61	57	93	86	44	38	39	46	63	9	94	C	19	62.32	-1	1	1	0	0
Oesa	Oevu Lereŋ	3	93	72	45	58	64	63	43	33	38	62	97	D	22	50.84	-1	1	1	0	0
Oesa	Olue Aq'aie	5	26	15	32	17	33	16	28	21	26	86	55	D	22	26.08	-1	1	1	0	0
Oesa	Piri Aq'aie	1	42	34	24	12	16	51	38	38	36	54	69	D	23	35.31	-1	1	1	0	0
Oesa	Apu Tuni	4	51	39	61	74	29	52	42	15	62	39	67	D	22	51.41	-1	1	1	0	0
Futiakep	Paekua Epi	1	95	81	34	17	26	73	88	63	47	89	76	C	23	55.73	-1	1	1	0	0
Auspikitan	Otop Gekxakŋi	4	63	54	92	53	36	52	34	45	62	21	79	C+	19	56.05	-1	1	1	0	0
Auspikitan	Oiŋi Finapeke	5	50	56	69	98	91	64	81	35	89	70	97	D	22	76.74	-1	1	1	0	0
Wyverncliff	Travis Wells	5	45	37	47	49	93	47	57	42	87	44	74	D+	22	60.50	-1	1	1	0	0
Wyverncliff	Pat Wells	4	54	71	97	60	50	24	58	17	98	14	89	D	23	63.65	-1	1	1	0	0
Wyverncliff	Zac Perch	5	20	26	67	73	98	49	74	30	95	38	73	C	22	69.72	-1	1	1	0	0
Wyverncliff	Steve Svensson	1	83	94	44	10	86	54	72	99	71	19	56	C	20	63.60	-1	1	1	0	0
Wyverncliff	Thomas Hoover	2	59	59	32	21	17	42	53	30	51	54	93	C	19	41.37	-1	1	1	0	0
Solea	napuk aiqík	4	49	50	53	46	44	25	56	27	87	88	89	D	20	52.44	-1	1	1	0	0
Solea	petgek leppakút	2	66	79	55	21	35	35	46	47	68	18	93	D	22	49.37	-1	1	1	0	0
Solea	petgek zaiqatpit	3	69	84	59	21	36	55	49	43	69	90	70	C+	21	50.21	-1	1	1	0	0
Solea	kekh pátélokain	4	68	86	91	78	42	63	99	23	98	28	80	C	21	74.04	-1	1	1	0	0
Nausicaa	Vŕá Płońiblá	2	38	41	58	13	14	51	18	67	31	34	66	D+	22	40.60	-1	1	1	0	0
Nausicaa	Tapan Sikasbë	4	30	25	29	49	31	44	24	18	50	50	72	C+	22	37.99	-1	1	1	0	0
Nausicaa	Mazló Nasa	5	59	47	65	64	71	75	29	28	39	51	97	C	21	56.43	-1	1	1	0	0
Blaist_Blaland	Kuilikki Idaso	3	58	62	96	41	65	44	55	60	44	54	65	C	22	56.77	-1	1	1	0	0
Blaist_Blaland	Autanblanaix Ritkropro	5	42	34	55	77	94	37	30	19	70	91	70	C	22	56.44	-1	1	1	0	0
Blaist_Blaland	Farbla Kaxpa	2	27	22	13	21	17	37	19	34	17	8	97	D+	22	27.33	-1	1	1	0	0
Blaist_Blaland	Blaux Lizaxium	3	63	50	30	27	33	63	31	40	68	28	93	C	22	45.81	-1	1	1	0	0
Blaist_Blaland	Danaix Ix	5	8	13	46	67	62	26	23	41	58	70	99	D	22	47.33	-1	1	1	0	0
Blaist_Blaland	Sovlik Dazaxka	4	89	75	95	88	87	67	59	52	87	25	68	C	20	77.31	-1	1	1	0	0
Blaist_Blaland	Kaxnaixfar Kiixrit	5	28	24	26	31	95	59	33	30	56	84	72	C+	22	49.32	-1	1	1	0	0
Blaist_Blaland	Kinox Sovkol	1	82	63	22	15	45	46	54	91	90	68	96	D+	23	58.93	-1	1	1	0	0
Blaist_Blaland	Tanau Krofar	1	92	92	23	37	40	92	74	91	77	82	100	D+	21	68.75	-1	1	1	0	0
Blaist_Blaland	Kudapa Naixi	4	33	30	29	30	18	25	18	18	17	93	79	D+	22	25.46	-1	1	1	0	0
Blaist_Blaland	Hjenax Ritkropro	1	97	96	13	30	22	50	50	98	70	63	94	D+	22	55.22	-1	1	1	0	0
Red_Rainbow	Blaux Kaxpa	5	14	19	22	19	88	18	23	7	56	86	86	D	22	37.78	-1	1	1	0	0
Red_Rainbow	Ixbla Dazaxka	4	28	16	34	31	27	14	30	20	17	81	70	D	22	27.20	-1	1	1	0	0
Sagua	Sova Mipjódló	2	53	45	58	9	23	53	35	71	60	93	80	D	22	50.68	-1	1	1	0	0
Sagua	Vŕá Noq	3	24	38	97	42	86	37	68	37	52	61	89	D	20	60.00	-1	1	1	0	0
Height_Sagua	Mom Kámh	2	99	91	64	38	32	50	81	75	38	39	64	D	22	57.22	-1	1	1	0	0
Key_to_Don	Sávákán Sŕa	1	32	38	17	12	44	12	32	27	9	51	82	D+	22	23.55	-1	1	1	0	0
Key_to_Don	Ha Dakómh	3	13	11	15	32	9	25	30	16	21	50	79	D+	22	23.98	-1	1	1	0	0
Key_to_Don	Ḿavwápŕi Blamhákpwano	5	41	33	45	33	56	45	42	25	39	49	60	C	22	42.18	-1	1	1	0	0
Barsein	Domen Udo	3	32	57	23	15	43	43	37	32	59	43	77	D	22	39.32	-1	1	1	0	0
Barsein	Ishimoto Danjuro	2	80	72	57	26	57	27	73	59	68	19	89	D	19	56.17	-1	1	1	0	0
Antarion	Śùy Nnò'ʃiv	3	54	62	90	10	56	45	81	37	33	57	91	D+	22	52.06	-1	1	1	0	0
Antarion	Màce Nùx́iś	1	88	96	51	30	25	66	45	76	52	73	92	D+	23	54.60	-1	1	1	0	0
Antarion	Muŕahinni Mii	5	50	39	65	62	96	52	68	10	56	80	66	C	22	61.49	-1	1	1	0	0
Antarion	Hòŕcò Qe	5	32	21	51	36	84	54	44	44	77	27	80	F+	22	56.12	-1	1	1	0	0
Antarion	Śa'guskeq Càl	3	46	62	48	18	48	47	48	63	90	52	61	C+	21	53.68	-1	1	1	0	0
Nja	Màce Nùx́iś	1	91	96	39	22	32	60	61	100	93	42	100	D+	23	66.14	-1	1	1	0	0
Pentadominion	Śonpennneŕgomà O'àpàasà	4	85	97	100	83	54	85	77	29	93	68	82	C	22	77.57	-1	1	1	0	0
Pentadominion	Śa'guskeq Qùcca'	2	48	59	52	15	24	41	48	100	82	94	79	C	21	59.35	-1	1	1	0	0
Pentadominion	Pepi Vàydep	4	51	47	72	77	40	53	84	7	89	57	92	F+	22	65.22	-1	1	1	0	0
Pentadominion	E'àǵay Nùx́iś	5	52	47	58	65	97	59	46	28	49	51	81	D+	23	60.24	-1	1	1	0	0
Shmupland	Chu Seung-Won	4	41	36	64	22	20	34	45	11	69	91	100	D	22	43.50	-1	1	1	0	0
Shmupland	Om Chin-Ho	5	20	20	29	33	44	21	25	14	17	93	89	D	22	30.28	-1	1	1	0	0
Shmupland	Om Jae-Wook	4	23	25	11	30	29	55	42	17	60	80	89	F+	19	37.84	-1	1	1	0	0
Shmupland	Chwa Minsu	1	85	83	28	9	21	66	92	93	53	69	99	C	21	60.50	-1	1	1	0	0
Shmupland	Om Sung-Soo	4	70	50	92	90	60	88	38	65	45	35	83	B	20	68.44	-1	1	1	0	0
Shmupland	Kae Yeong-Jin	2	28	32	12	21	37	29	31	15	12	8	63	D	22	23.30	-1	1	1	0	0
Shmupland	Ok Sung-Soo	4	58	69	71	49	28	71	43	46	78	87	98	D+	23	58.33	-1	1	1	0	0
Kaeshar	Teva Piu	2	78	48	30	10	41	28	43	88	44	15	66	C	22	45.48	-1	1	1	0	0
Kaeshar	Nio Finapeke	1	95	95	21	21	50	100	58	96	99	42	82	C	20	70.44	-1	1	1	0	0
Kaeshar	Eke Mopke	3	52	54	78	56	29	53	49	20	24	40	82	D	22	45.27	-1	1	1	0	0
Kaeshar	Ivi Oipa	4	63	57	90	96	34	61	80	57	100	22	58	B	20	74.70	-1	1	1	0	0
Kaeshar	Eŋipxuk Vokigei	1	75	70	25	9	26	66	93	98	49	30	51	D+	20	57.90	-1	1	1	0	0
Kaeshar	Klegna Ainigdine	2	76	79	25	47	78	31	41	82	77	94	86	C+	21	55.95	-1	1	1	0	0
Kaeshar	Makiaipisi Finapeke	3	94	92	94	36	74	99	81	55	91	36	96	C	21	77.74	-1	1	1	0	0
Kaeshar	Imuk Depazeoni	4	71	80	91	50	55	75	56	28	90	78	99	C+	20	67.68	-1	1	1	0	0
Kaeshar	Makiaipisi Nitip	2	73	67	60	40	44	84	29	71	78	57	71	C	20	61.29	-1	1	1	0	0
Kaeshar	Otop Poi	3	61	60	47	7	36	32	57	56	43	19	79	C	19	42.05	-1	1	1	0	0
Kaeshar	Otop Vokigei	1	67	69	12	25	15	73	37	96	59	55	51	C	19	50.72	-1	1	1	0	0
Kaeshar	Klegna Vevapi	4	68	57	99	44	47	46	36	39	90	28	83	B	19	61.11	-1	1	1	0	0
Kaeshar	Iveo Nitip	4	55	48	89	65	39	49	46	36	55	78	95	C+	21	57.78	-1	1	1	0	0
Kaeshar	Nipka Aivik	4	66	90	75	95	31	77	77	32	94	81	84	C+	20	72.22	-1	1	1	0	0
Kaeshar	Eŋipxuk Tituqu	1	51	55	31	6	10	53	38	70	34	96	97	D+	22	41.91	-1	1	1	0	0
Kaeshar	Oiŋi Bitsekzeba	5	7	9	16	21	26	15	9	11	27	77	88	D+	22	21.48	-1	1	1	0	0
Kaeshar	Kudqoatlop Nipta	2	59	69	54	33	42	40	59	59	25	45	95	C	22	47.63	-1	1	1	0	0
Kaeshar	Vioŋeki Mopke	2	85	73	27	46	57	29	81	80	59	88	64	C+	21	55.98	-1	1	1	0	0
Kaeshar	Biplatza Ainigdine	4	54	44	45	45	17	24	32	14	28	62	84	D+	22	33.75	-1	1	1	0	0
Bielosia	Analu Vatthana	3	65	89	84	43	29	68	87	24	34	21	74	D	22	53.97	-1	1	1	0	0
Bielosia	Keahi Vatthana	5	56	61	58	88	100	54	31	22	62	74	89	D	22	62.52	-1	1	1	0	0
Bielosia	Konala Sayasone	2	38	35	27	26	41	38	25	34	48	50	77	C	22	36.64	-1	1	1	0	0
Bielosia	Koa Soulignavong	3	92	74	65	34	74	94	81	93	65	46	66	D+	20	70.88	-1	1	1	0	0
Bielosia	Makan Savang	4	64	43	59	60	47	83	52	42	45	95	96	C	22	56.96	-1	1	1	0	0
Bielosia	Kelii Bouphavanh	1	83	88	31	28	13	90	41	82	44	59	54	D	22	51.81	-1	1	1	0	0
Bielosia	Keoki Phommasane	1	52	42	41	17	43	67	45	91	64	84	64	D	23	56.06	-1	1	1	0	0
