Aahrus Moosi	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alubembi Keget	1	96	92	63	19	47	67	65	96	87	74	72	F	22	68.04	1427	1	1	21	228
Aiyota	Yombeen	2	94	96	48	43	60	88	89	97	80	58	104	B	30	77.93	0	-1	6.4	10	51
Dotruga	Olandi Amodetsei 	3	60	38	91	22	88	70	78	81	92	100	56	C	22	73.42	1192	3	1	30	109
Darvincia	Kardo Gasbërr	4	51	41	103	101	77	83	65	18	100	46	78	C	25	81.49	2	2	17.6	9	29
Aiyota	Namia Akaleta	5	34	34	90	88	58	82	66	25	75	54	81	C+	29	69.73	601	2	1	35	172
Bielosia	Center #162	1	72	70	66	60	33	94	72	65	64	50	63	A	27	66.13	990	3	1	35	301
Aahrus	Aahrus Player #1	2	111	65	14	19	86	89	66	114	78	57	94	B	33	72.64	12	-1	1	30	124
Transhimalia	Wakuni Senelile	3	96	95	58	32	43	71	81	93	81	73	87	F	22	67.29	1429	1	1	54	248
Dotruga	Heine Umlauf	4	72	62	100	93	63	33	62	23	56	58	99	D+	26	66.39	915	1	1	62	276
Loviniosa	Kimo Rattanvongsa	5	19	42	80	77	86	67	59	33	63	62	93	B+	31	68.39	545	1	1	52	207
Bielosia	Center #162	1	72	70	66	60	33	94	72	65	64	50	63	A	27	66.13	990	3	1	35	301
Aahrus	Power Forward #160	2	35	30	27	28	64	72	37	48	46	54	80	C+	28	47.56	1008	1	1	186	944
Holy_Yektonisa	Phetdum Bouvanaat 	3	8	68	76	81	67	82	70	86	11	56	83	D+	21	63.95	1238	1	1	92	414
Dotruga	Heine Umlauf	4	72	62	100	93	63	33	62	23	56	58	99	D+	26	66.39	915	1	1	62	276
Loviniosa	Kimo Rattanvongsa	5	19	42	80	77	86	67	59	33	63	62	93	B+	31	68.39	545	1	1	52	207
Auspikitan Golden Falcons	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Key_to_Don	Naqánkló Qjodlonhámh	1	94	94	28	14	36	100	64	90	77	42	82	B+	29	65.82	25	2	1	44	317
Bielosia	Phetdum Somphonpadee	2	82	92	70	76	57	71	45	81	95	21	68	C+	26	71.06	20	2	1	36	149
Dotruga	Ijba Bexotrugo	3	95	76	87	80	81	70	65	63	79	63	88	B	30	74.79	264	-3	1	22	89
