Division A, Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank, Division Wins, Division Losses, Conference Wins, Conference Losses
Solea Geysers,57,27,20853,19702,1,1,3,2,2,38,14,L1,6 - 4
Sagua Ocelots,57,27,19886,19393,2,2,4,4,0,35,17,L2,7 - 3
Aahrus Moosi,45,39,20585,20288,3,5,11,2,2,30,22,L5,3 - 7
Manwx Saguans,43,41,20109,20582,4,7,16,3,1,26,26,W3,7 - 3
Key to Don Yees,42,42,20686,21146,5,10,19,2,2,27,25,W2,5 - 5
Calto Cows,41,43,18825,18432,6,11,20,3,1,30,22,L1,6 - 4
Auspikitan Golden Falcons,31,53,18159,18405,7,13,28,0,0,20,32,W1,2 - 8
Height Sagua Cats,23,61,19270,20144,8,16,32,0,4,14,38,L4,2 - 8
Division B
Kaeshar Kaisers,50,34,19168,18985,1,3,8,3,0,34,18,W1,6 - 4
Shmupland Dictators,48,36,19722,19657,2,4,9,1,2,30,22,W2,7 - 3
Serkr Atolls,43,41,18797,18383,3,6,14,1,2,31,21,W3,8 - 2
Naxda Nomads,42,42,18639,18509,4,8,17,1,2,23,29,W2,4 - 6
Barsein Bats,42,42,19790,19864,5,9,18,1,2,27,25,L3,3 - 7
Red Rainbow Sickles,34,50,20041,20482,6,12,24,0,3,18,34,W3,5 - 5
Autolik Autonomy,30,54,17959,18381,7,14,30,0,3,18,34,L3,3 - 7
Blanaxon Hammers,27,57,20393,20850,8,15,31,1,2,15,37,L2,4 - 6
Division C
Dotruga Falno,58,26,21164,19876,1,2,2,2,0,38,16,W2,7 - 3
Boltway Bad Dragons,53,31,20324,20311,2,3,5,2,0,36,18,W5,8 - 2
Stedro Boulders,44,40,19035,18850,3,8,13,2,0,32,22,L2,6 - 4
Aiyota Pumps,43,41,22390,22285,4,9,15,2,0,28,26,L2,5 - 5
Faehrenfall Feathercats,36,48,18943,19224,5,10,21,1,1,21,33,W1,3 - 7
Avura Aviators,34,50,21050,21477,6,12,23,2,0,23,31,L2,3 - 7
TND Tanks,34,50,19691,20545,7,13,25,0,2,19,35,W1,3 - 7
Ethanthova Ponies,32,52,21870,22030,8,15,27,0,2,20,34,L1,6 - 4
Division D
Dvimne Spirits,64,20,19206,18021,1,1,1,1,1,41,13,W5,8 - 2
Pyxanovia Pixies,51,33,20641,20074,2,4,6,1,1,31,23,W2,6 - 4
Holykol Bears,51,33,21634,21591,3,5,7,2,0,36,18,W3,6 - 4
Transhimalia Disasters,46,38,20466,20479,4,6,10,2,0,25,29,L3,4 - 6
Bongatar Banging Bongos,44,40,18948,18458,5,7,12,1,1,25,29,L3,3 - 7
Holy Yektonisa Bishops,35,49,18705,19133,6,11,22,1,1,22,32,W4,7 - 3
Lyintaria Lynx,33,51,19831,20211,7,14,26,0,2,19,35,L2,3 - 7
Czalliso Pythons,31,53,21024,22036,8,16,29,0,2,19,35,L1,4 - 6
Division A, Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank, Division Wins, Division Losses, Conference Wins, Conference Losses
Solea Geysers,60,24,9904,9376,1,1,1,2,2,38,14,L1,7 - 3
Calto Cows,53,31,8586,8338,2,2,5,3,1,33,19,L1,8 - 2
Sagua Ocelots,51,33,9545,9202,3,3,6,4,0,35,17,W6,8 - 2
Aahrus Moosi,43,41,9554,9475,4,7,13,1,3,25,27,W2,6 - 4
Key to Don Yees,36,48,9225,9245,5,11,24,2,2,23,29,L1,5 - 5
Auspikitan Golden Falcons,33,51,8282,8531,6,13,28,0,0,20,32,L3,4 - 6
Manwx Saguans,31,53,9179,9568,7,14,30,4,0,23,29,L2,1 - 9
Height Sagua Cats,28,56,9029,9404,8,15,31,3,1,20,32,W1,3 - 7
Division B
Serkr Atolls,51,33,8896,8738,1,4,7,1,2,32,20,W3,7 - 3
Kaeshar Kaisers,51,33,8756,8639,2,5,8,2,1,33,19,W1,5 - 5
Naxda Nomads,49,35,8685,8586,3,6,9,0,3,29,23,L3,5 - 5
Shmupland Dictators,43,41,9290,9276,4,8,15,0,3,26,26,L2,6 - 4
Barsein Bats,38,46,9428,9478,5,9,19,2,1,23,29,W2,5 - 5
Blanaxon Hammers,37,47,9455,9582,6,10,22,1,2,19,33,L2,3 - 7
Red Rainbow Sickles,35,49,9428,9581,7,12,26,2,1,21,31,W2,5 - 5
Autolik Autonomy,23,61,8168,8607,8,16,32,0,3,16,36,L2,2 - 8
Division C
Dotruga Falno,59,25,9749,9320,1,1,2,2,0,39,15,W1,7 - 3
Boltway Bad Dragons,46,38,8910,8836,2,4,10,1,1,30,24,L2,5 - 5
Stedro Boulders,46,38,8835,8770,3,5,11,1,1,28,26,L4,6 - 4
